PROJECT_ID,FOREST_WOODY_STOCK_CO2E,FOREST_AREA,FOREST_WOODY_STOCK_CO2E_STD_DEV,YEAR,REPORTED_STOCK_CO2E
Project1,0.0,0.0,0.0,1998,0.0
Project1,0.0,0.0,0.0,1999,0.0
Project1,0.0,0.0,0.0,2000,0.0
Project1,0.0,0.0,0.0,2001,0.0
Project1,0.0,0.0,0.0,2002,0.0
Project1,0.0,0.0,0.0,2003,0.0
Project1,0.0,0.0,0.0,2004,0.0
Project1,0.0,0.0,0.0,2005,0.0
Project1,0.0,0.0,0.0,2006,0.0
Project1,0.0,0.0,0.0,2007,0.0
Project1,21.365456215,0.5875130296,15.96136629,2008,21.818681017231775
Project1,156.618692815,2.517923594,87.721519211,2009,153.9018907197145
Project1,237.777012395,3.525074244,124.598991925,2010,238.39071572708536
Project1,44.582147444,1.091111541,29.464845328,2011,44.36491717338554
Project1,89.36094982,2.182282209,51.488737513,2012,93.28144724361958
Project1,25306.816039714,163.331130981,6211.854531491,2013,24769.86828014214
Project1,81065.538239583,304.761291504,17592.651475939,2014,80305.8561710941
Project1,100228.028441406,309.125732422,21690.667742705,2015,101104.56111223646
Project1,97443.412171875,306.943481445,21117.639940106,2016,100460.49946123076
Project1,97079.445403646,310.46875,20991.392794012,2017,92747.65231059841
Project1,98466.738261719,306.943389893,21339.43315118,2018,100800.00881831654
Project1,94231.013679687,309.377471924,20389.616152039,2019,93433.50380105012
Project1,87333.451233073,303.753936768,18965.701762922,2020,89071.78948032463
Project1,83246.07146224,304.677215576,18066.980395659,2021,82484.6006449476
Project1,87292.701790365,306.607574463,18921.972259427,2022,84493.72931381546
Project1,93288.264380208,307.698852539,20207.405255108,2023,90749.25470342759
Project1,11862.41728597,184.651885986,2841.945487468,2024,11355.428832567086
Project2,54666.522768229,362.839324951,12046.429145053,1998,48676.487876607476
Project2,81299.242463542,585.118286133,16300.883224559,1999,56901.5180212017
Project2,24219.221543945,197.427398682,6019.208445036,2000,15286.374096714257
Project2,78478.095208333,627.63684082,15518.494056314,2001,64103.74733721059
Project2,104576.502579427,642.560546875,20584.068263224,2002,66702.19761890553
Project2,104552.158247396,549.818847656,21223.191570137,2003,83821.06329963997
Project2,82000.788059896,476.705413818,17121.24586277,2004,73836.11792370578
Project2,112429.222554688,584.132446289,22550.865885254,2005,82606.0281855262
Project2,136103.956770833,689.86706543,26416.959882109,2006,110897.64505993547
Project2,172787.659114583,898.165405273,31834.048172347,2007,139237.26804803734
Project2,98275.012372396,579.534118652,19742.376638487,2008,97417.76493142036
Project2,140677.384604167,771.473083496,26708.040490773,2009,163189.66414560302
Project2,240158.135966146,1219.624145508,41652.788289562,2010,258220.91636207557
Project2,186528.423010417,1034.848876953,33417.40373135,2011,180741.96263157798
Project2,214121.92484375,1094.086181641,37942.032638332,2012,224903.9541568721
Project2,304024.164153646,1420.407836914,51167.702390361,2013,226856.5968305235
Project2,208322.243536458,1068.977050781,37083.918443953,2014,150464.69272797438
Project2,266646.906567708,1326.074584961,45489.477791193,2015,317915.10993619455
Project2,364684.393390625,1572.032592773,60161.351616532,2016,355406.5013769263
Project2,452701.989723958,1732.854492188,73261.310969721,2017,277146.17624533514
Project2,403825.838682292,1761.852172852,65136.572168986,2018,251705.11826657376
Project2,436004.897052083,1715.700683594,70697.505987908,2019,312426.9463081409
Project2,434403.983234375,1733.649780273,70293.266820016,2020,516962.5620863102
Project2,443398.892635417,1776.883544922,71400.890716425,2021,438557.9650381536
Project2,529914.2069375,1884.124145508,84353.390916966,2022,557464.3827295667
Project2,546284.676838542,1969.528198242,86201.950794472,2023,560049.2532534397
Project2,574450.866171875,1917.809204102,91124.787333719,2024,501153.9232789235
Project3,372.029274256,7.690960407,167.06748344,1998,260.4204919792
Project3,212.893315745,5.128271103,103.586346601,1999,149.0253210215
Project3,365.295002955,7.515554905,164.793702035,2000,255.70650206849996
Project3,467.157424423,9.048709869,203.146171835,2001,327.0101970961
Project3,1816.475161051,29.691036224,624.46725843,2002,1271.5326127357
Project3,351.303953583,7.686607838,157.778517974,2003,245.9127675081
Project3,318.433051961,6.665197849,147.10660954,2004,222.90313637269998
Project3,520.660409231,10.50818634,219.813659452,2005,364.4622864617
Project3,692.169436442,13.66519165,277.42480518,2006,484.51860550939995
Project3,787.369172546,16.741123199,303.16257906,2007,551.1584207822
Project3,600.004925446,12.217596054,245.871017382,2008,420.00344781219997
Project3,991.964072245,17.846595764,377.133722528,2009,694.3748505715
Project3,601.477723551,10.764093399,252.72563851,2010,421.0344064857
Project3,1033.882032878,17.507255554,394.563837325,2011,723.7174230146
Project3,3243.095809855,60.586338043,968.314926183,2012,2270.1670668985
Project3,1347.506576457,21.784685135,492.494386593,2013,943.2546035198999
Project3,1910.887425212,34.846889496,636.460449511,2014,1337.6211976483999
Project3,3387.624568604,59.02293396,1016.698522445,2015,2371.3371980228
Project3,2232.172995687,38.516132355,728.897155212,2016,1562.5210969808998
Project3,4146.651542236,74.83366394,1187.482825494,2017,2902.6560795652
Project3,6995.679176514,100.768074036,1888.922116537,2018,4896.975423559799
Project3,9049.018356283,129.830749512,2324.052793588,2019,6334.3128493981
Project3,8434.547891602,114.570068359,2220.390157434,2020,5904.183524121399
Project3,7027.541949463,93.578781128,1925.455344203,2021,4919.2793646241
Project3,7664.376628011,98.697113037,2077.952360887,2022,5365.0636396077
Project3,8030.252248047,101.086730957,2166.877549137,2023,5621.1765736329
Project3,10277.117085612,121.130645752,2675.791532208,2024,7193.9819599284
