BOUNDARY_ID,FOREST_WOODY_STOCK_CO2E,FOREST_AREA,YEAR
SYL2371663-51f823a6,0,0,1998
SYL2371663-51f823a6,0,0,1999
SYL2371663-51f823a6,0,0,2000
SYL2371663-51f823a6,0,0,2001
SYL2371663-51f823a6,0,0,2002
SYL2371663-51f823a6,0,0,2003
SYL2371663-51f823a6,0,0,2004
SYL2371663-51f823a6,0,0,2005
SYL2371663-51f823a6,0,0,2006
SYL2371663-51f823a6,0,0,2007
SYL2371663-51f823a6,21.365456215,0.5875130296,2008
SYL2371663-51f823a6,156.618692815,2.517923594,2009
SYL2371663-51f823a6,237.777012395,3.525074244,2010
SYL2371663-51f823a6,44.582147444,1.091111541,2011
SYL2371663-51f823a6,89.36094982,2.182282209,2012
SYL2371663-51f823a6,25306.816039714,163.331130981,2013
SYL2371663-51f823a6,81065.538239583,304.761291504,2014
SYL2371663-51f823a6,100228.028441406,309.125732422,2015
SYL2371663-51f823a6,97443.412171875,306.943481445,2016
SYL2371663-51f823a6,97079.445403646,310.46875,2017
SYL2371663-51f823a6,98466.738261719,306.943389893,2018
SYL2371663-51f823a6,94231.013679687,309.377471924,2019
SYL2371663-51f823a6,87333.451233073,303.753936768,2020
SYL2371663-51f823a6,83246.07146224,304.677215576,2021
SYL2371663-51f823a6,87292.701790365,306.607574463,2022
SYL2371663-51f823a6,93288.264380208,307.698852539,2023
SYL2371663-51f823a6,11862.41728597,184.651885986,2024
SYL237665-b20f87e2,54666.522768229,362.839324951,1998
SYL237665-b20f87e2,81299.242463542,585.118286133,1999
SYL237665-b20f87e2,24219.221543945,197.427398682,2000
SYL237665-b20f87e2,78478.095208333,627.63684082,2001
SYL237665-b20f87e2,104576.502579427,642.560546875,2002
SYL237665-b20f87e2,104552.158247396,549.818847656,2003
SYL237665-b20f87e2,82000.788059896,476.705413818,2004
SYL237665-b20f87e2,112429.222554688,584.132446289,2005
SYL237665-b20f87e2,136103.956770833,689.86706543,2006
SYL237665-b20f87e2,172787.659114583,898.165405273,2007
SYL237665-b20f87e2,98275.012372396,579.534118652,2008
SYL237665-b20f87e2,140677.384604167,771.473083496,2009
SYL237665-b20f87e2,240158.135966146,1219.624145508,2010
SYL237665-b20f87e2,186528.423010417,1034.848876953,2011
SYL237665-b20f87e2,214121.92484375,1094.086181641,2012
SYL237665-b20f87e2,304024.164153646,1420.407836914,2013
SYL237665-b20f87e2,208322.243536458,1068.977050781,2014
SYL237665-b20f87e2,266646.906567708,1326.074584961,2015
SYL237665-b20f87e2,364684.393390625,1572.032592773,2016
SYL237665-b20f87e2,452701.989723958,1732.854492188,2017
SYL237665-b20f87e2,403825.838682292,1761.852172852,2018
SYL237665-b20f87e2,436004.897052083,1715.700683594,2019
SYL237665-b20f87e2,434403.983234375,1733.649780273,2020
SYL237665-b20f87e2,443398.892635417,1776.883544922,2021
SYL237665-b20f87e2,529914.2069375,1884.124145508,2022
SYL237665-b20f87e2,546284.676838542,1969.528198242,2023
SYL237665-b20f87e2,574450.866171875,1917.809204102,2024
SYL237738-8a1f8896,372.029274256,7.690960407,1998
SYL237738-8a1f8896,212.893315745,5.128271103,1999
SYL237738-8a1f8896,365.295002955,7.515554905,2000
SYL237738-8a1f8896,467.157424423,9.048709869,2001
SYL237738-8a1f8896,1816.475161051,29.691036224,2002
SYL237738-8a1f8896,351.303953583,7.686607838,2003
SYL237738-8a1f8896,318.433051961,6.665197849,2004
SYL237738-8a1f8896,520.660409231,10.50818634,2005
SYL237738-8a1f8896,692.169436442,13.66519165,2006
SYL237738-8a1f8896,787.369172546,16.741123199,2007
SYL237738-8a1f8896,600.004925446,12.217596054,2008
SYL237738-8a1f8896,991.964072245,17.846595764,2009
SYL237738-8a1f8896,601.477723551,10.764093399,2010
SYL237738-8a1f8896,1033.882032878,17.507255554,2011
SYL237738-8a1f8896,3243.095809855,60.586338043,2012
SYL237738-8a1f8896,1347.506576457,21.784685135,2013
SYL237738-8a1f8896,1910.887425212,34.846889496,2014
SYL237738-8a1f8896,3387.624568604,59.02293396,2015
SYL237738-8a1f8896,2232.172995687,38.516132355,2016
SYL237738-8a1f8896,4146.651542236,74.83366394,2017
SYL237738-8a1f8896,6995.679176514,100.768074036,2018
SYL237738-8a1f8896,9049.018356283,129.830749512,2019
SYL237738-8a1f8896,8434.547891602,114.570068359,2020
SYL237738-8a1f8896,7027.541949463,93.578781128,2021
SYL237738-8a1f8896,7664.376628011,98.697113037,2022
SYL237738-8a1f8896,8030.252248047,101.086730957,2023
SYL237738-8a1f8896,10277.117085612,121.130645752,2024
